plot,stems,FIRE,MPB,UNK,OPF,LIVE,DC1,DC2,DC3,DC4,full,live,none,partial,DBH_mean,scorch_mean,height_mean,cones_mean,Plot_ID,fire_severity,UTM_E,UTM_N,Fire_id,Burndate,Terrain_SD,temp,rh,ws,precip,ffmc,dmc,dc,isi,bui,fwi,PFM,GV,char,soil,litter,rock,dwood,cwd,other,deadveg,duff_depth,subplot,quadplot,elevation,aspect,slope
1,7,100,0,0,0,0,100,0,0,0,100,0,0,0,9.642857143,57.14285714,4.571428571,40.28571429,CEC0629M1,moderate,334151,5904342,R10070_2014,213,-0.185181,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,0,35,46.75,16.25,0,0,1.25,0.75,0,0,0.875,0.75,NA,937,0,5
10,11,18.18181818,0,0,81.81818182,0,18.18181818,9.090909091,72.72727273,0,0,18.18181818,81.81818182,0,11.22727273,87.27272727,7.636363636,15.45454545,CEC0705H4,high,334978,5905205,R10070_2014,213,-0.0833282,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,81.81818182,21.75,4.25,69,0,5,0,0,0,0,0,1.25,NA,997,205,1
11,6,0,33.33333333,0,66.66666667,0,0,0,100,0,0,0,100,0,21,100,13.83333333,0,CEC0705H5,high,334794,5904865,R10070_2014,213,0.027771,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,100,33.75,44.75,19.5,1,0.75,0,0,0,0,0.6,0.75,NA,968,169,2
12,18,44.44444444,16.66666667,0,33.33333333,5.555555556,50,50,0,0,61.11111111,27.77777778,5.555555556,5.555555556,12.27777778,6.638888889,1.483333333,64.44444444,CEC0706L1,low,334102,5905051,R10070_2014,214,0.0123427,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,50,37.5,6,3.75,50.25,0,2.5,0,0,0,1,3.25,NA,975,168,2
13,18,22.22222222,50,0,16.66666667,11.11111111,38.88888889,61.11111111,0,0,61.11111111,27.77777778,0,11.11111111,14.08333333,3.305555556,0.727777778,132.7222222,CEC0706L2,low,334026,5905243,R10070_2014,214,0.0888916,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,66.66666667,42.5,12,0,46.75,0,0,0,0,0,0.975,2,NA,999,284,10
14,10,20,60,0,10,10,30,70,0,0,80,20,0,0,19.9,12.8,2.41,104,CEC0706L3,low,334687,5905600,R10070_2014,214,0.0476161,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,70,40,36,1.25,22,0.75,0,0,0,0,1.425,0,NA,1025,95,0
15,3,0,100,0,0,0,0,66.66666667,33.33333333,0,0,0,100,0,17.33333333,43.33333333,10.16666667,0,EF0707M1,moderate,331883,5899958,R10171_2012,223,0.111108,19.1,40,6.7,0,88.6,46.9,460,4.9,74.7,16.4,100,30,14.5,13,37.75,0.25,4.5,0,0,0,0.833333333,0.75,12.25,949,132,10
16,6,16.66666667,50,0,33.33333333,0,16.66666667,0,50,33.33333333,16.66666667,0,83.33333333,0,18.5,95.5,10.33333333,58.33333333,EF0707H2,high,332162,5900377,R10171_2012,217,0.0222168,27.7,31,8.8,0,91.7,41.2,426.6,8.5,66.4,22.9,83.33333333,26.25,23.5,48.75,0.666666667,1,0,0,0,0,0.275,0.75,17.25,947,210,2
17,24,12.5,45.83333333,0,41.66666667,0,29.16666667,37.5,33.33333333,0,25,29.16666667,45.83333333,0,11.95833333,70.66666667,9.645833333,68,EF0707H1,moderate,332007,5900240,R10171_2012,217,0.444458,27.7,31,8.8,0,91.7,41.2,426.6,8.5,66.4,22.9,87.5,37.5,31.75,6.75,17.25,0.5,5.5,0,0,0,1.025,3,53,944,198,2
18,14,0,71.42857143,7.142857143,14.28571429,7.142857143,42.85714286,57.14285714,0,0,50,35.71428571,7.142857143,7.142857143,16.78571429,2.321428571,0.628571429,95.5,CEC0709L1,low,334615,5906003,R10070_2014,214,0,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,85.71428572,35,17,18,40,0,0,0,0,0,2.75,2,10.5,1040,204,0
19,18,16.66666667,38.88888889,0,44.44444444,0,16.66666667,83.33333333,0,0,61.11111111,27.77777778,11.11111111,0,16.22222222,41.77777778,5.305555556,115.4444444,CEC0709M1,moderate,334179,5905381,R10070_2014,214,-0.0476161,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,83.33333333,50,15,0,33.25,1.75,0,0,0,0,1.125,0.5,16.5,1005,184,2
2,7,100,0,0,0,0,100,0,0,0,100,0,0,0,11.5,26.42857143,3.428571429,164.2857143,CEC0630H1,moderate,334730,5905754,R10070_2014,213,0.0476249,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,0,42.5,46,0,0,11.5,0,0,0,0,0.675,17,NA,1039,155,0
20,2,0,50,0,50,0,0,50,50,0,0,50,50,0,17.5,70,11,50,EF0710M1,moderate,331125,5899028,R10171_2012,259,-0.111115,15,40,14,0,90.7,99,651.3,9.7,143.4,35.5,100,40,15,2.75,32.5,5,1,0,1.25,0,0.55,0.25,33,947,305,0
21,8,50,0,0,50,0,12.5,0,87.5,0,0,12.5,87.5,0,15.0625,98.125,10.4375,25,EF0710H2,high,330916,5898980,R10171_2012,259,-0.0444458,15,40,14,0,90.7,99,651.3,9.7,143.4,35.5,50,60,19.5,14.75,1.25,2.75,0,0,1.75,0,0.1875,4,55.5,952,15,0
22,10,20,0,0,80,0,20,10,70,0,20,0,80,0,11.55,100,8.85,55,EF0710H1,high,331350,5898916,R10171_2012,259,0.166672,15,40,14,0,90.7,99,651.3,9.7,143.4,35.5,80,56.25,15.75,12,6.5,1.5,8,0,0,0,0.625,2,41,966,250,3
23,13,0,38.46153846,0,53.84615385,7.692307692,61.53846154,38.46153846,0,0,61.53846154,38.46153846,0,0,17.5,2.346153846,0.538461538,140.7692308,EF0711L1,low,329904,5898561,R10171_2012,251,0.148153,25.1,25,4.8,0,92.7,82.3,613.2,8,123.3,29.6,92.30769231,68.75,2.75,0,28,0,0.5,0,0,0,1.25,2.25,45,970,305,1
24,12,16.66666667,75,0,8.333333333,0,58.33333333,41.66666667,0,0,50,50,0,0,18.5,7,1.116666667,218.5833333,EF0711L2,low,329687,5898507,R10171_2012,251,-0.111104,25.1,25,4.8,0,92.7,82.3,613.2,8,123.3,29.6,83.33333333,83.5,5.25,0,11.25,0,0,0,0,0,1,0,16.5,968,290,1
25,4,25,0,0,75,0,25,0,75,0,0,25,75,0,11.5,97.5,7.875,1.25,EF0712H1,high,332071,5900084,R10171_2012,217,0.333313,27.7,31,8.8,0,91.7,41.2,426.6,8.5,66.4,22.9,75,37,3.25,27.5,8,24.5,0,0,0,0,0,1,52,949,195,0
26,19,31.57894737,0,0,68.42105263,0,26.31578947,10.52631579,73.68421053,5.263157895,15.78947368,10.52631579,73.68421053,0,11.15789474,97.36842105,7.473684211,36.84210526,EF0713H1,high,329290,5898387,R10171_2012,257,0.333313,24.4,22,9.5,0,92.7,94.4,641.8,10.1,138.1,36.1,68.42105263,47.25,21.5,12.5,5,10,3.75,0,0,0,1.125,1.75,52.5,956,220,0
27,12,8.333333333,58.33333333,0,33.33333333,0,16.66666667,75,25,8.333333333,8.333333333,83.33333333,25,8.333333333,16.29166667,27.54545455,6.090909091,51.45454545,EF0713M1,moderate,329577,5898292,R10171_2012,257,0.111104,24.4,22,9.5,0,92.7,94.4,641.8,10.1,138.1,36.1,91.66666666,41.25,11.5,8,37.25,2,0,0,0,0,0.525,16.25,180.5,980,73,0
28,22,0,31.81818182,4.545454545,59.09090909,4.545454545,22.72727273,77.27272727,0,0,31.81818182,54.54545455,9.090909091,4.545454545,16.61363636,3.227272727,0.781818182,46.59090909,EF0713L1,low,330028,5898390,R10171_2012,251,0.138885,25.1,25,4.8,0,92.7,82.3,613.2,8,123.3,29.6,90.90909091,77.25,7.25,0,15.5,0,0,0,0,0,2.6,0.5,6,985,270,0
29,25,84,12,0,4,0,84,16,0,0,72,28,0,0,10.28,25.24,2.8,93.33333333,BA0719M1,moderate,320722,5910776,R10070_2014,216,0.0370382,27.1,26.5,1.2,0,94.2,77.1,420.9,8.2,105.7,28.3,16,10,12.5,3.5,73,1,0,0,0,0,1.3125,0.25,3,914,12,10
3,42,50,16.66666667,2.380952381,23.80952381,7.142857143,61.9047619,38.0952381,0,0,40.47619048,42.85714286,9.523809524,7.142857143,11.02380952,3.583333333,0.564285714,87.26190476,CEC0701L1,low,334790,5905867,R10070_2014,213,-0.111108,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,40.47619048,49.25,9.375,0,37.875,2.25,0,0,1.25,0,0.925,3.75,NA,1043,165,2
30,9,22.22222222,55.55555556,0,22.22222222,0,11.11111111,33.33333333,22.22222222,33.33333333,44.44444444,55.55555556,22.22222222,11.11111111,14.16666667,70,8.611111111,68.55555556,BA0719M2,moderate,320537,5910850,R10070_2014,218,0.0666626,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,77.77777778,10.75,43,18,12.25,16,0,0,0,0,0.4,2,35.5,908,340,0
31,6,50,0,0,50,0,50,50,0,0,83.33333333,16.66666667,0,0,12.25,24.66666667,2.833333333,136.6666667,BA0719L1,moderate,320054,5910967,R10070_2014,218,-0.388885,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,50,16.75,35.25,16.25,25,6.25,0,0,0,0,0.9875,0,11,912,289,0
32,15,46.66666667,26.66666667,0,0,26.66666667,80,20,0,0,73.33333333,0,0,26.66666667,12.33333333,3.3,0.592857143,66.93333333,BA0720L1,low,320444,5911090,R10070_2014,218,-0.166656,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,26.66666667,20.75,15.25,2,61.75,0.25,0,0,0,0,1.2625,0,0,893,0,1
33,12,41.66666667,0,0,58.33333333,0,33.33333333,25,41.66666667,0,33.33333333,25,41.66666667,0,11.45833333,100,8.583333333,100.4166667,BA0720H1,high,320356,5911223,R10070_2014,216,-0.185181,27.1,26.5,1.2,0,94.2,77.1,420.9,8.2,105.7,28.3,58.33333333,2.125,5.125,86.75,2,4,0,0,0,0,0,0.25,2.5,885,26,1
34,12,8.333333333,0,0,91.66666667,0,0,8.333333333,91.66666667,0,0,8.333333333,91.66666667,0,11.45833333,100,8.708333333,10.41666667,BA0720H2,high,320365,5910827,R10070_2014,218,-0.111104,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,91.66666667,22.5,33,39.5,0.75,4.25,0,0,0,0,0.6625,11.25,257,905,322,1
35,4,0,100,0,0,0,0,100,0,0,50,50,0,0,19.5,23.75,3,64.25,BA0720M1,moderate,320554,5911221,R10070_2014,216,0.111104,27.1,26.5,1.2,0,94.2,77.1,420.9,8.2,105.7,28.3,100,16.75,40,10,29.75,3.5,0,0,0,0,1.025,0.25,12.5,888,43,0
36,31,90.32258065,3.225806452,0,6.451612903,0,90.32258065,0,9.677419355,0,54.83870968,38.70967742,6.451612903,0,10.01612903,100,10.70967742,78.93548387,BA0721H1,high,321120,5911034,R10070_2014,215,0.166656,26.8,28.3,1.7,0,94.1,72.2,413,8.3,100.5,27.7,9.677419355,10.75,58.5,26.75,2.25,1.75,0,0,0,0,0.5875,0.25,0.5,873,0,5
37,16,6.25,50,0,43.75,0,6.25,93.75,0,0,31.25,68.75,0,0,12.625,8.25,2.125,99.4375,BA0721L1,low,321082,5910919,R10070_2014,216,0.0555573,27.1,26.5,1.2,0,94.2,77.1,420.9,8.2,105.7,28.3,93.75,33.75,36,2.5,27.75,0,0,0,0,0,1.425,4.5,61,884,63,0
38,8,25,62.5,0,12.5,0,0,25,62.5,12.5,25,50,25,0,14.875,95,10.25,80.375,BA0721H2,high,320815,5911005,R10070_2014,216,0.111115,27.1,26.5,1.2,0,94.2,77.1,420.9,8.2,105.7,28.3,75,14.25,44.25,39.5,1.5,0.5,0,0,0,0,0.25,0.75,33.5,885,218,6
39,26,11.53846154,38.46153846,3.846153846,11.53846154,34.61538462,69.23076923,30.76923077,0,0,34.61538462,30.76923077,0,34.61538462,11.06,1.096153846,0.207692308,61.69230769,BA0722L1,low,319852,5911282,R10070_2014,219,0.055542,17.4,37.3,7.2,0,91.3,87.2,440.9,7.4,116.7,27.6,50,42.5,18.5,2.5,36.25,0.25,0,0,0,0,0.7125,1,4,892,340,0
4,12,0,75,0,25,0,0,100,0,0,41.66666667,58.33333333,0,0,16.41666667,13.5,2.516666667,107.1666667,CEC0702M1,moderate,334297,5905505,R10070_2014,214,-0.111108,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,100,50,2.5,0,47.5,0,0,0,0,0,1.366666667,1.5,NA,1025,168,5
40,10,40,60,0,0,0,40,0,60,0,10,30,60,0,13.2,99.7,10.15,33,BA0722H1,high,319191,5911531,R10070_2014,219,0.111115,17.4,37.3,7.2,0,91.3,87.2,440.9,7.4,116.7,27.6,60,9.25,75.25,3,7.25,3.75,0,0,0,0,1.0375,6,96.5,889,0,0
41,9,0,44.44444444,0,55.55555556,0,0,33.33333333,55.55555556,11.11111111,11.11111111,44.44444444,44.44444444,0,18.27777778,68.33333333,8.166666667,43.33333333,BA0722H2,high,319267,5911285,R10070_2014,219,-0.177783,17.4,37.3,7.2,0,91.3,87.2,440.9,7.4,116.7,27.6,100,15.25,25,55,2.25,1,0,0,0,0,0.0375,0,1.5,905,191,5
42,27,7.407407407,25.92592593,0,25.92592593,40.74074074,74.07407407,25.92592593,0,0,22.22222222,37.03703704,0,40.74074074,11.7037037,2.740740741,0.555555556,106.2222222,BA0728L1,low,319437,5910300,R10070_2014,217,-0.0925903,25,31.6,12.4,0,93.4,81.3,428.4,12.9,110.3,39,51.85185186,16.5,24.5,0,59,0,0,0,0,0,1.2125,3.5,34,914,270,3
43,18,27.77777778,55.55555556,0,5.555555556,11.11111111,61.11111111,38.88888889,0,0,55.55555556,33.33333333,0,11.11111111,15.80555556,4.235294118,0.927777778,97.72222222,BA0729L1,moderate,319915,5910878,R10070_2014,218,-0.0444458,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,61.11111112,30,19,0,51,0,0,0,0,0,1.25,0,8.5,905,315,0
44,18,0,72.22222222,0,22.22222222,5.555555556,16.66666667,77.77777778,5.555555556,0,16.66666667,44.44444444,33.33333333,5.555555556,19.44444444,16.91666667,0.561111111,92.88888889,BA0730L1,low,320082,5910919,R10070_2014,218,-0.055542,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,94.44444444,35,36.25,10,18.25,0.5,0,0,0,0,2.0875,0.25,4,907,272,0
45,10,0,80,0,20,0,0,70,30,0,0,60,40,0,17.55,46.33333333,4.111111111,2.4,BA0730M1,moderate,320184,5911101,R10070_2014,218,-0.0444458,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,100,25,37.5,29.5,8,0,0,0,0,0,0.675,1.5,12,894,348,0
46,9,0,100,0,0,0,0,100,0,0,66.66666667,22.22222222,11.11111111,0,22.22222222,17.88888889,1.833333333,155.1111111,BA0730L2,low,320054,5911334,R10070_2014,218,0,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,100,36.25,41.75,0.25,21.5,0.25,0,0,0,0,1.675,0.5,11.5,900,4,0
47,14,35.71428571,57.14285714,7.142857143,21.42857143,7.142857143,28.57142857,28.57142857,42.85714286,0,28.57142857,42.85714286,28.57142857,0,12.75,24.77777778,0.833333333,31.21428571,BA0730L3,low,319889,5911057,R10070_2014,219,0.138885,17.4,37.3,7.2,0,91.3,87.2,440.9,7.4,116.7,27.6,78.57142857,18.75,39.25,5,35.5,1.5,0,0,0,0,0.575,2,16.5,881,45,0
48,10,0,70,0,20,10,0,60,40,0,0,40,50,10,17.05,24,1.6,99.5,BA0731M1,moderate,319308,5910787,R10070_2014,217,-0.133337,25,31.6,12.4,0,93.4,81.3,428.4,12.9,110.3,39,90,16.25,51.5,15.75,16.5,0,0,0,0,0,1.125,0,1,887,55,0
49,12,8.333333333,66.66666667,0,25,0,8.333333333,91.66666667,0,0,50,41.66666667,8.333333333,0,16.16666667,7.333333333,1.25,122.9166667,BA0731L1,low,319308,5910632,R10070_2014,217,-0.539682,25,31.6,12.4,0,93.4,81.3,428.4,12.9,110.3,39,91.66666667,20.25,42,8.75,20,7,0,0,0,0,0.5625,0.25,3,901,90,0.5
5,24,37.5,0,0,62.5,0,37.5,0,62.5,0,16.66666667,20.83333333,62.5,0,11.4375,99.91666667,11.89583333,66.04166667,CEC0702H1,high,334541,5905225,R10070_2014,214,-0.0555573,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,62.5,26.25,47,25,0,1.75,0,0,0,0,0.6,3.75,NA,989,227,0
50,20,15,45,0,40,0,10,70,20,0,30,35,35,0,12.9,36.125,2.9125,20.15,BA0801M1,moderate,318975,5910701,R10070_2014,218,0,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,85,15,25.5,19.25,38,2,0.25,0,0,0,0.7125,0.75,19,917,82,2
51,15,0,80,0,20,0,0,46.66666667,53.33333333,0,0,26.66666667,73.33333333,0,17.76666667,55.66666667,3.142857143,1.4,BA0803M1,moderate,319014,5910397,R10070_2014,218,-0.111104,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,100,58.75,29,0,11.75,0,0.5,0,0,0,1.675,0.25,7.5,900,90,0
52,11,18.18181818,54.54545455,0,27.27272727,0,18.18181818,0,81.81818182,0,9.090909091,18.18181818,72.72727273,0,13.54545455,92.54545455,7.363636364,19.36363636,TL0807M2,moderate,692861,5907193,R10252_2013,259,-0.055542,12.5,96,25,10.8,28,24,491,0,44,0,81.81818182,18.75,10.5,43.5,18.25,6.75,2.25,0,0,0,0.95,0.75,4.5,966,183,1.5
53,12,16.66666667,8.333333333,0,75,0,16.66666667,16.66666667,66.66666667,0,0,16.66666667,83.33333333,0,14.16666667,85.16666667,4.5,6.416666667,TL0807M1,moderate,692665,5907055,R10252_2013,259,-0.555542,12.5,96,25,10.8,28,24,491,0,44,0,83.33333333,25,8.25,48.75,0.5,17.5,0,0,0,0,0.1875,4,23,954,195,0
54,13,0,76.92307692,7.692307692,15.38461538,0,46.15384615,30.76923077,23.07692308,0,23.07692308,46.15384615,30.76923077,0,14.34615385,25.15384615,2.636363636,22,TL0808L1,low,693377,5906833,R10252_2013,259,0.111115,12.5,96,25,10.8,28,24,491,0,44,0,92.3076923,26.25,19.75,1.25,40.25,1.75,2,0,0,8.75,2.275,0,5,950,290,10
55,19,31.57894737,31.57894737,10.52631579,5.263157895,21.05263158,68.42105263,31.57894737,0,0,31.57894737,47.36842105,0,21.05263158,13.26315789,5.078947368,0.715789474,73.78947368,TL0809L1,low,693472,5906910,R10252_2013,259,-0.296305,12.5,96,25,10.8,28,24,491,0,44,0,36.84210527,27.75,20,0.25,51.5,0,0.5,0,0,0,1.6,0.5,5,942,110,10
56,11,36.36363636,9.090909091,9.090909091,45.45454545,0,27.27272727,18.18181818,54.54545455,0,0,45.45454545,54.54545455,0,15.40909091,94.54545455,7.875,8.181818182,TL0809H1,high,693076,5906911,R10252_2013,259,-0.222229,12.5,96,25,10.8,28,24,491,0,44,0,54.54545454,15.5,16.25,58,0,5.25,5,0,0,0,0.475,0.5,9.5,947,145,0
57,18,44.44444444,16.66666667,0,38.88888889,0,44.44444444,0,55.55555556,0,5.555555556,38.88888889,55.55555556,0,15.77777778,97.16666667,8.863636364,35,TL0809H2,high,692392,5906843,R10252_2013,259,0.0555573,12.5,96,25,10.8,28,24,491,0,44,0,55.55555556,38.75,39.25,10.25,1,8.75,2,0,0,0,0.4125,0.75,13,954,155,5
58,18,38.88888889,0,0,61.11111111,0,22.22222222,27.77777778,50,0,22.22222222,27.77777778,50,0,9.888888889,95,9.1875,34.72222222,TL0810H1,high,690964,5906302,R10252_2013,257,-0.0222168,21.6,49,5,0,90,46,536,5.5,75,18,61.11111111,11.5,41.25,23.25,3.75,15.5,4.75,0,0,0,0.8,0.666666667,19,964,180,8
59,31,22.58064516,38.70967742,6.451612903,32.25806452,0,32.25806452,58.06451613,9.677419355,0,19.35483871,61.29032258,19.35483871,0,12.80645161,15.56451613,1.561111111,45.06451613,TL0810L1,low,691033,5906111,R10252_2013,257,-0.111104,21.6,49,5,0,90,46,536,5.5,75,18,70.96774194,41.25,17.75,1.25,36.5,3.25,0,0,0,0,1.2875,1,12.5,954,125,4
6,20,20,30,0,50,0,30,60,10,0,30,20,50,0,11.7,24.25,1.555,37.77777778,CEC0703M1,low,333922,5906030,R10070_2014,222,0.111115,23.3,41,10.1,0,87,75.6,460.5,4.6,107.2,19,80,52,18,1.25,23.75,0,0,0.5,0,0,1.125,0,NA,1028,264,5
60,20,45,20,0,35,0,40,25,35,0,45,20,35,0,11.35,61.95,4.875,33.5,TL0810M1,moderate,691200,5906288,R10252_2013,257,0.111104,21.6,49,5,0,90,46,536,5.5,75,18,55,21.25,11.25,5.25,44.25,18,0,0,0,0,1.1625,1,21.5,962,115,8
61,8,62.5,25,0,0,12.5,75,0,25,0,62.5,0,25,12.5,14,30.375,1.1,10.625,TL0811L1,low,693759,5907023,R10252_2013,259,-0.166656,12.5,96,25,10.8,28,24,491,0,44,0,25,45,13.25,0,33,2,0.5,0,0,6.25,1.4125,0,1.5,928,83,0
62,26,38.46153846,23.07692308,0,38.46153846,0,30.76923077,7.692307692,61.53846154,0,0,30.76923077,69.23076923,0,11.78846154,95,7.571428571,16.84615385,TL0811M1,moderate,693552,5907108,R10252_2013,259,-0.194443,12.5,96,25,10.8,28,24,491,0,44,0,61.53846154,25.75,46.5,12,1,5.5,9.25,0,0,0,0.6625,3,46,939,65,1
63,15,13.33333333,6.666666667,0,80,0,13.33333333,0,86.66666667,0,6.666666667,6.666666667,86.66666667,0,17.1,98.53333333,8.272727273,80,TL0811H1,high,693582,5907372,R10252_2013,259,-0.0888916,12.5,96,25,10.8,28,24,491,0,44,0,86.66666667,19,17.75,61,0,2.25,0,0,0,0,0.3125,0.666666667,8.5,970,140,0
7,6,0,83.33333333,0,16.66666667,0,0,0,100,0,0,0,100,0,22.41666667,100,12.5,0,CEC0705H1,high,334510,5904882,R10070_2014,214,0.0555573,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,100,45,51,3.75,0.25,0,0,0,0,0,1.175,1,NA,960,234,20
8,11,0,45.45454545,0,54.54545455,0,0,0,100,0,0,0,100,0,13.18181818,100,12.40909091,0,CEC0705H2,high,334391,5904692,R10070_2014,213,-0.0555573,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,100,45,50,2,0,0.5,2.5,0,0,0,0.975,1.5,NA,949,188,2
9,14,0,14.28571429,0,85.71428571,0,0,0,100,0,0,0,100,0,13.5,100,11.39285714,0,CEC0705H3,high,335119,5904973,R10070_2014,213,0.0666626,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,100,43.75,36.75,17.75,0,1.75,0,0,0,0,0.675,1.5,NA,985,146,2
