plot,ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1,site1 ,region1 ,53.262365,-125.48661,937,2.8,13.7,-8.2,21.9,527,207,24.3,66,970,998,5524,15,142,169,250,81,216,-40.4,32.8,533,273,11.1,58
2,site2,region2,53.275226,-125.478668,1039,2.5,13.2,-8.2,21.4,534,211,23.4,62.6,994,928,5633,13,137,172,249,77,226,-40.6,32.3,522,258,11.4,58
3,site3,region3,53.27626,-125.477829,1043,2.5,13.2,-8.2,21.4,535,211,23.3,62.4,996,925,5639,12,137,172,249,76,226,-40.6,32.3,521,257,11.4,58
4,site4,region4,53.272855,-125.485023,1025,2.6,13.3,-8.2,21.4,535,211,23.5,62.9,990,938,5616,13,138,172,249,77,225,-40.6,32.4,523,260,11.4,58
5,site5,region5,53.270417,-125.481224,989,2.7,13.4,-8.1,21.6,531,209,23.9,64.2,980,963,5577,14,139,171,250,79,220,-40.6,32.6,527,265,11.2,58
6,site6,region6,53.277453,-125.490921,1028,2.5,13.3,-8.2,21.4,541,212,23.2,62.5,991,937,5620,13,138,172,249,77,227,-40.6,32.4,522,257,11.4,58
7,site7,region7,53.267327,-125.481514,960,2.8,13.6,-8.2,21.7,528,209,24.2,65.1,972,983,5543,15,141,170,250,81,217,-40.5,32.7,530,269,11.1,58
8,site8,region8,53.265583,-125.483192,949,2.8,13.6,-8.2,21.8,528,208,24.2,65.4,970,990,5533,15,142,169,250,81,216,-40.5,32.8,531,271,11.1,58
9,site9,region9,53.268334,-125.472435,985,2.7,13.5,-8.1,21.6,529,209,24,64.4,979,966,5571,14,140,170,250,79,219,-40.5,32.6,528,266,11.2,58
10,site10,region10,53.270373,-125.47467,997,2.7,13.4,-8.1,21.5,530,209,23.9,64,981,958,5583,14,139,171,249,79,220,-40.6,32.5,526,264,11.3,58
11,site11,region11,53.267263,-125.477249,968,2.7,13.5,-8.2,21.7,528,209,24.1,64.8,974,978,5551,15,141,170,250,80,217,-40.5,32.7,529,268,11.1,58
12,site12,region12,53.268717,-125.487709,975,2.7,13.5,-8.2,21.7,531,209,23.9,64.5,976,973,5560,14,140,170,250,80,219,-40.5,32.6,529,267,11.2,58
13,site13,region13,53.270418,-125.488953,999,2.6,13.4,-8.1,21.5,534,210,23.7,63.7,982,957,5586,14,139,171,249,79,222,-40.6,32.5,526,263,11.3,58
14,site14,region14,53.27383,-125.479233,1025,2.6,13.3,-8.2,21.4,533,211,23.6,63.1,990,938,5617,13,137,172,249,77,224,-40.6,32.4,523,261,11.4,58
15,site15,region15,53.277427,-125.480522,949,2.8,13.6,-8.2,21.8,528,208,24.2,65.6,970,988,5535,15,141,170,249,80,216,-40.6,32.8,533,272,11.1,58
16,site16,region16,53.271705,-125.486732,947,2.8,13.6,-8.2,21.8,528,208,24.2,65.5,971,991,5533,15,141,169,250,81,216,-40.4,32.8,532,271,11.2,58
17,site17,region17,53.31577,-125.691345,944,2.8,13.6,-8.2,21.9,521,199,24.6,68.4,962,995,5518,15,146,167,254,88,216,-39.9,32.4,518,268,11.2,60
18,site18,region18,53.316372,-125.69416,1040,2.7,13.3,-8,21.3,525,200,24.1,66.3,965,947,5576,13,143,169,254,85,221,-39.9,31.9,510,257,11.3,60
19,site19,region19,53.317259,-125.701469,1005,2.7,13.4,-8.1,21.5,522,200,24.4,67.1,962,967,5549,14,145,168,254,86,218,-39.9,32.1,513,262,11.3,60
20,site20,region20,53.318495,-125.695694,947,2.8,13.6,-8.2,21.8,520,199,24.7,68.3,960,994,5516,15,146,167,254,87,215,-39.9,32.4,518,268,11.2,60
21,site21,region21,53.31966,-125.69709,952,2.8,13.6,-8.2,21.8,520,199,24.7,68.2,960,992,5517,15,146,167,254,87,215,-39.9,32.4,518,267,11.2,60
22,site22,region22,53.316107,-125.696732,966,2.8,13.5,-8.2,21.7,523,199,24.5,67.8,961,985,5527,15,146,167,254,87,217,-39.9,32.4,517,265,11.3,60
23,site23,region23,53.319709,-125.694122,970,2.8,13.5,-8.2,21.7,520,199,24.6,67.8,962,983,5531,15,146,167,254,87,216,-39.9,32.2,516,266,11.2,60
24,site24,region24,53.318221,-125.685524,968,2.8,13.5,-8.2,21.7,520,199,24.6,67.9,963,982,5534,15,146,167,254,87,216,-39.9,32.2,515,265,11.2,60
25,site25,region25,53.317176,-125.686028,949,2.8,13.6,-8.2,21.8,520,199,24.7,68.3,963,992,5522,15,146,166,254,88,216,-39.9,32.3,518,268,11.2,60
26,site26,region26,53.317858,-125.690086,956,2.8,13.6,-8.2,21.8,520,199,24.7,68.1,962,988,5526,15,146,167,254,88,216,-39.9,32.3,516,266,11.2,60
27,site27,region27,53.320018,-125.704681,980,2.8,13.5,-8.2,21.7,522,199,24.5,67.7,961,980,5533,15,145,167,254,86,217,-39.8,32.2,516,265,11.3,60
28,site28,region28,53.322029,-125.714737,985,2.8,13.5,-8.1,21.6,529,200,24.2,67.4,956,976,5531,14,145,167,254,87,220,-39.8,32.3,515,262,11.2,60
29,site29,region29,53.319846,-125.713455,914,2.9,13.7,-8.3,22,524,199,24.7,69,956,1013,5488,16,147,166,254,88,215,-39.8,32.7,522,270,11.2,60
30,site30,region30,53.31106,-125.710342,908,2.9,13.7,-8.3,22,525,199,24.6,69,955,1015,5485,16,147,166,254,88,215,-39.8,32.7,523,271,11.3,60
31,site31,region31,53.316412,-125.703506,912,2.9,13.7,-8.3,22,522,199,24.8,69,957,1014,5489,16,147,166,254,88,214,-39.8,32.7,522,271,11.3,60
32,site32,region32,53.316837,-125.701027,893,3,13.8,-8.3,22.1,520,199,24.9,69.4,956,1023,5477,17,148,165,254,89,213,-39.8,32.8,524,273,11.3,60
33,site33,region33,53.318506,-125.6996,885,3,13.8,-8.4,22.2,520,199,24.9,69.6,956,1027,5472,17,148,165,254,89,212,-39.8,32.8,524,274,11.2,60
34,site34,region34,53.320554,-125.701683,905,2.9,13.7,-8.3,22.1,520,199,24.9,69.2,957,1017,5485,16,147,166,254,89,213,-39.8,32.7,523,272,11.2,60
35,site35,region35,53.318011,-125.703995,888,3,13.8,-8.4,22.2,521,199,24.9,69.5,956,1026,5473,17,148,165,254,89,213,-39.8,32.8,524,274,11.2,60
36,site36,region36,53.315388,-125.712555,873,3,13.9,-8.4,22.3,523,199,24.9,69.8,955,1033,5462,17,148,165,254,89,213,-39.8,32.9,526,275,11.2,60
37,site37,region37,53.313997,-125.712463,884,3,13.8,-8.4,22.2,523,199,24.8,69.6,955,1028,5469,17,148,165,254,89,214,-39.8,32.9,525,274,11.2,60
38,site38,region38,53.314502,-125.717499,885,3,13.8,-8.3,22.2,524,199,24.8,69.6,955,1028,5469,17,148,165,254,89,214,-39.8,32.9,525,274,11.2,60
39,site39,region39,53.311786,-125.716743,892,3,13.8,-8.3,22.1,525,199,24.7,69.3,955,1024,5474,17,148,165,254,89,215,-39.8,32.8,524,273,11.2,60
40,site40,region40,53.278217,-125.476685,889,3,13.9,-8.2,22.1,520,205,25,67.8,954,1029,5468,17,143,168,250,82,209,-40.5,33.1,540,282,11,57
41,site41,region41,53.276773,-125.478653,905,2.9,13.8,-8.2,22,521,206,24.8,67.3,957,1018,5485,16,143,168,250,82,210,-40.5,33,538,280,11,58
42,site42,region42,53.277318,-125.490479,914,2.9,13.8,-8.1,21.9,528,208,24.4,66.3,956,1010,5492,16,142,169,249,81,213,-40.6,33,537,276,11,57
43,site43,region43,53.278132,-125.480324,905,2.9,13.8,-8.2,22,524,206,24.7,67.1,958,1017,5486,16,143,168,250,81,211,-40.5,33,538,279,11,57
44,site44,region44,53.280347,-125.479324,907,2.9,13.8,-8.2,22,522,206,24.7,67,960,1015,5492,16,142,168,250,81,211,-40.5,33,538,279,11,58
45,site45,region45,53.281909,-125.476418,894,2.9,13.9,-8.2,22.1,520,206,24.9,67.4,958,1023,5480,17,143,168,250,82,209,-40.5,33.1,540,281,11,57
46,site46,region46,53.308827,-125.707275,900,2.9,13.8,-8.3,22.1,524,199,24.7,69.1,954,1018,5480,16,147,166,254,89,215,-39.8,32.8,523,271,11.3,60
47,site47,region47,53.316343,-125.703384,881,3,13.8,-8.4,22.2,520,199,24.9,69.7,955,1029,5469,17,148,165,254,89,213,-39.8,32.9,525,274,11.3,60
48,site48,region48,53.316112,-125.700859,887,3,13.8,-8.4,22.2,520,199,24.9,69.5,956,1025,5474,17,148,165,254,89,213,-39.8,32.8,524,273,11.3,60
49,site49,region49,53.315109,-125.715721,901,2.9,13.8,-8.3,22.1,524,199,24.7,69.3,955,1020,5479,17,148,166,254,89,215,-39.8,32.8,523,272,11.2,60
50,site50,region50,53.316058,-125.723801,917,2.9,13.7,-8.3,21.9,525,199,24.6,68.9,953,1008,5491,16,147,166,254,89,216,-39.8,32.7,520,269,11.2,60
51,site51,region51,53.314702,-125.722153,900,2.9,13.8,-8.3,22.1,524,199,24.7,69.2,954,1018,5480,16,148,165,254,89,215,-39.8,32.8,522,271,11.2,60
52,site52,region52,53.307702,-125.710098,966,2.8,13.5,-8.2,21.7,528,201,24.3,67.5,957,984,5525,15,146,167,254,87,219,-39.9,32.3,517,264,11.3,60
53,site53,region53,53.222282,-125.518265,954,2.7,13.5,-8.2,21.6,530,204,24,65.8,972,967,5561,14,139,171,248,77,221,-40.5,32.6,531,273,11,58
54,site54,region54,53.226133,-125.514305,950,2.7,13.5,-8.2,21.7,529,204,24.1,66,972,971,5556,14,140,171,249,78,220,-40.5,32.7,531,273,11,58
55,site55,region55,53.224853,-125.516556,942,2.7,13.5,-8.2,21.7,529,204,24.1,66.3,971,975,5551,14,140,171,249,78,220,-40.5,32.7,532,274,11,58
56,site56,region56,53.21369,-125.529114,947,2.7,13.5,-8.2,21.7,532,204,23.9,65.9,972,970,5557,14,140,171,248,78,222,-40.5,32.7,532,274,11.1,58
57,site57,region57,53.213192,-125.532211,954,2.7,13.4,-8.2,21.6,533,204,23.9,65.8,972,966,5562,14,139,171,248,77,223,-40.6,32.7,532,274,11.1,58
58,site58,region58,53.212755,-125.525688,964,2.7,13.4,-8.2,21.6,533,205,23.8,65.3,975,959,5573,14,138,171,248,77,223,-40.6,32.6,531,272,11.1,58
59,site59,region59,53.209107,-125.547127,954,2.7,13.4,-8.2,21.6,534,204,23.8,65.8,969,966,5558,14,139,171,248,78,223,-40.5,32.6,531,273,11.2,58
60,site60,region60,53.208552,-125.550346,962,2.7,13.4,-8.2,21.6,534,204,23.8,65.6,970,960,5566,14,139,171,248,77,224,-40.5,32.6,530,272,11.2,58
61,site61,region61,53.223473,-125.515518,928,2.8,13.6,-8.3,21.8,529,204,24.2,66.7,970,984,5539,15,141,170,249,79,219,-40.4,32.7,532,275,11,58
62,site62,region62,53.207347,-125.556221,939,2.8,13.5,-8.2,21.7,532,202,24,66.9,969,976,5547,14,140,170,249,78,222,-40.3,32.7,532,276,11.2,58
63,site63,region63,53.206586,-125.55188,970,2.7,13.4,-8.1,21.5,533,204,23.8,65.6,972,955,5574,14,138,171,248,76,224,-40.6,32.6,530,273,11.2,58
64,site64,region64,53.207611,-125.545181,1045,2.5,13,-8.1,21.2,536,207,23.3,63.1,983,905,5643,12,133,174,245,72,229,-41,32.3,526,266,11.2,57
65,site65,region65,53.207152,-125.549362,1050,2.5,13,-8.1,21.1,536,207,23.3,62.9,983,902,5648,12,133,174,245,71,230,-41,32.3,525,265,11.2,57
66,site66,region66,53.206691,-125.547005,1023,2.5,13.1,-8.1,21.2,535,206,23.4,63.8,979,920,5622,12,135,173,246,73,228,-40.8,32.4,527,268,11.2,57
67,site67,region67,53.278832,-126.107193,1044,2.5,13.2,-8.2,21.4,605,193,20.7,68.2,994,930,5632,13,145,167,255,88,280,-39.2,31.9,501,248,11.4,62
68,site68,region68,53.277665,-126.110214,1050,2.5,13.1,-8.2,21.3,608,194,20.6,67.6,996,926,5639,13,145,168,255,88,282,-39.2,31.9,500,246,11.5,62
69,site69,region69,53.275413,-126.099686,1057,2.5,13.1,-8.2,21.3,609,192,20.5,68.1,996,923,5642,12,145,168,255,88,284,-39.2,31.8,499,246,11.5,62
70,site70,region70,53.276069,-126.098213,978,2.7,13.4,-8.2,21.6,564,186,22.5,72.1,974,964,5568,14,146,167,255,88,252,-39.3,32.3,511,268,11.2,61
71,site71,region71,53.276222,-126.104141,987,2.7,13.4,-8.2,21.5,571,187,22.2,71.4,977,959,5577,14,146,167,255,88,256,-39.3,32.3,509,264,11.2,61
72,site72,region72,53.275861,-126.114433,928,2.8,13.6,-8.2,21.8,542,183,23.7,74.3,961,990,5521,15,147,166,255,88,235,-39.4,32.7,518,280,11.1,60
73,site73,region73,53.27152,-126.136147,914,2.9,13.6,-8.2,21.9,532,180,24.2,75.8,960,998,5509,16,147,166,254,88,230,-39.4,32.8,520,285,11,60
74,site74,region74,53.26978,-126.135223,916,2.9,13.6,-8.2,21.8,533,180,24.1,75.7,960,997,5510,16,147,166,255,88,231,-39.4,32.8,520,285,11,60
75,site75,region75,53.271309,-126.132614,901,2.9,13.7,-8.2,21.9,528,179,24.4,76.5,957,1005,5498,16,147,166,254,88,227,-39.4,32.9,522,288,11,60
76,site76,region76,53.276979,-126.093849,921,2.8,13.6,-8.2,21.8,533,181,24.1,75,959,993,5514,15,147,167,254,88,230,-39.4,32.7,519,283,11.1,60
77,site77,region77,53.277818,-126.096893,947,2.8,13.5,-8.2,21.7,547,183,23.4,73.7,967,980,5540,15,146,167,255,88,239,-39.3,32.5,515,276,11.1,61
78,site78,region78,53.280177,-126.096283,920,2.8,13.6,-8.2,21.8,531,181,24.2,75.2,960,994,5515,15,147,166,254,88,229,-39.4,32.7,519,283,11,60
79,site79,region79,53.275418,-126.099548,951,2.8,13.5,-8.2,21.7,549,183,23.2,73.5,967,978,5542,15,146,167,255,88,241,-39.3,32.5,515,275,11.1,61
80,site80,region80,53.262046,-126.083687,893,2.9,13.7,-8.2,21.9,518,181,24.9,75.6,955,1007,5492,16,147,166,254,88,219,-39.5,32.9,524,288,10.6,60
81,site81,region81,53.262302,-126.088997,912,2.9,13.6,-8.2,21.8,521,181,24.7,75.4,957,998,5506,16,147,166,254,88,222,-39.6,32.8,521,286,10.6,60
82,site82,region82,53.276684,-126.093178,930,2.8,13.6,-8.2,21.8,538,182,23.8,74.5,961,988,5523,15,147,167,254,88,233,-39.4,32.7,518,280,11.2,60
83,site83,region83,53.26506,-126.088509,915,2.9,13.6,-8.2,21.8,522,181,24.7,75.2,958,996,5509,15,147,166,254,88,223,-39.6,32.8,520,285,10.7,60
